Unnamed: 0,ceramic,Bi,La,Sr,Ca,Ti,Mg,Mn,Zr,Hf,T,thick,Eenergy_density,efficiency,A_site_Molar_volume,A_site_Ionization_energy,A_site_Electron_affinity,A_site_Row,A_site_Atomic_mass,A_site_Number,A_site_Ionic_radii,A_site_Bond_length,A_site_Atomic_radius,A_site_Van_der_Waals_radius,A_site_X,B_site_Molar_volume,B_site_Ionization_energy,B_site_Electron_affinity,B_site_Row,B_site_Atomic_mass,B_site_Number,B_site_Ionic_radii,B_site_Bond_length,B_site_Atomic_radius,B_site_Van_der_Waals_radius,B_site_X,Entropy,Tolerance_factor,Octahedral_factor
10,,0.9,0.1,0.0,0.0,0.35,0.35,0.15,0.15,0.0,500,160,11.22,48.9102,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.3658999999999994,1.4352498399999998,-0.026713180000000003,0.76,9.43690135,4.33,0.1851,0.40901,0.2915,0.39719999999999994,0.28589999999999993,1.629094456006287,0.7590131456929962,0.1469047619047619
11,,0.9,0.1,0.0,0.0,0.35,0.35,0.15,0.15,0.0,550,160,25.45,50.36612,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.3658999999999994,1.4352498399999998,-0.026713180000000003,0.76,9.43690135,4.33,0.1851,0.40901,0.2915,0.39719999999999994,0.28589999999999993,1.629094456006287,0.7590131456929962,0.1469047619047619
12,,0.9,0.1,0.0,0.0,0.35,0.35,0.15,0.15,0.0,600,160,34.57,39.79052,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.3658999999999994,1.4352498399999998,-0.026713180000000003,0.76,9.43690135,4.33,0.1851,0.40901,0.2915,0.39719999999999994,0.28589999999999993,1.629094456006287,0.7590131456929962,0.1469047619047619
13,,0.9,0.1,0.0,0.0,0.35,0.35,0.15,0.15,0.0,650,160,42.91,42.84145,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.3658999999999994,1.4352498399999998,-0.026713180000000003,0.76,9.43690135,4.33,0.1851,0.40901,0.2915,0.39719999999999994,0.28589999999999993,1.629094456006287,0.7590131456929962,0.1469047619047619
14,,0.9,0.1,0.0,0.0,0.3,0.3,0.2,0.2,0.0,500,160,9.52,53.24385,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.3332,1.43118792,-0.02413574,0.7799999999999999,10.176801800000002,4.64,0.18480000000000002,0.41158,0.292,0.4016,0.2862,1.6912418209606501,0.7591707480903576,0.1466666666666667
15,,0.9,0.1,0.0,0.0,0.3,0.3,0.2,0.2,0.0,550,160,16.11,44.62604,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.3332,1.43118792,-0.02413574,0.7799999999999999,10.176801800000002,4.64,0.18480000000000002,0.41158,0.292,0.4016,0.2862,1.6912418209606501,0.7591707480903576,0.1466666666666667
16,,0.9,0.1,0.0,0.0,0.3,0.3,0.2,0.2,0.0,600,160,36.21,32.24112,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.3332,1.43118792,-0.02413574,0.7799999999999999,10.176801800000002,4.64,0.18480000000000002,0.41158,0.292,0.4016,0.2862,1.6912418209606501,0.7591707480903576,0.1466666666666667
17,,0.9,0.1,0.0,0.0,0.3,0.3,0.2,0.2,0.0,650,160,11.58,42.66765,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.3332,1.43118792,-0.02413574,0.7799999999999999,10.176801800000002,4.64,0.18480000000000002,0.41158,0.292,0.4016,0.2862,1.6912418209606501,0.7591707480903576,0.1466666666666667
18,,0.9,0.1,0.0,0.0,0.25,0.25,0.25,0.25,0.0,500,160,9.08,29.91763,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.3005000000000004,1.4271260000000001,-0.0215583,0.8,10.91670225,4.95,0.1845,0.41414999999999996,0.2925,0.40599999999999997,0.28650000000000003,1.7113773345113388,0.7593284159508125,0.14642857142857144
19,,0.9,0.1,0.0,0.0,0.25,0.25,0.25,0.25,0.0,550,160,6.33,39.61202,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.3005000000000004,1.4271260000000001,-0.0215583,0.8,10.91670225,4.95,0.1845,0.41414999999999996,0.2925,0.40599999999999997,0.28650000000000003,1.7113773345113388,0.7593284159508125,0.14642857142857144
